gene_name,sequence_length,gc_content,at_gc_ratio,kmer_3_GGG,kmer_3_GGC,kmer_3_GCG,kmer_3_CGG,kmer_3_GCT,kmer_3_CTG,kmer_3_TGC,kmer_3_GCC,kmer_3_CCG,kmer_3_CGC,kmer_3_CCA,kmer_3_CAG,kmer_3_AGC,kmer_3_CCC,kmer_3_CTA,kmer_3_TAA,kmer_3_AAG,kmer_3_AGG,kmer_3_CTC,kmer_3_TCG,kmer_3_GGA,kmer_3_GAG,kmer_3_AGA,kmer_3_TCT,kmer_3_TGT,kmer_3_GTT,kmer_3_TTT,kmer_3_TTC,kmer_3_TCC,kmer_3_AGT,kmer_3_GTC,kmer_3_GTG,kmer_3_TGG,kmer_3_CTT,kmer_3_TTA,kmer_3_AAA,kmer_3_CAC,kmer_3_ACT,kmer_3_CGT,kmer_3_CAA,kmer_3_AAT,kmer_3_ATG,kmer_3_TAT,kmer_3_TGA,kmer_3_GAC,kmer_3_ACA,kmer_3_TCA,kmer_3_CCT,kmer_3_ACG,kmer_3_GAT,kmer_3_ATC,kmer_3_CGA,kmer_3_CAT,kmer_3_TAC,kmer_3_AAC,kmer_3_GCA,kmer_3_GAA,kmer_3_ACC,kmer_3_GGT,kmer_3_ATT,kmer_3_TTG,kmer_3_ATA,kmer_3_GTA,kmer_3_TAG,kmer_3_CAN,kmer_3_ANN,kmer_3_NNN,kmer_3_NNT,kmer_3_NTA
HOXA13,2800,0.5228571428571429,0.912568306010929,0.024303073624017155,0.0228734810578985,0.021801286633309505,0.01858470335954253,0.016082916368834882,0.019656897784131523,0.01929949964260186,0.023588277340957826,0.016440314510364547,0.02037169406719085,0.01679771265189421,0.01929949964260186,0.01858470335954253,0.021801286633309505,0.008220157255182273,0.015368120085775554,0.01858470335954253,0.01501072194424589,0.012151536812008578,0.012151536812008578,0.01679771265189421,0.013938527519656898,0.011794138670478913,0.00964974982130093,0.020014295925661188,0.014653323802716226,0.025375268048606146,0.016082916368834882,0.00964974982130093,0.01322373123659757,0.00964974982130093,0.02644746247319514,0.021801286633309505,0.011794138670478913,0.014653323802716226,0.03359542530378842,0.017155110793423873,0.010364546104360257,0.013938527519656898,0.015725518227305217,0.014653323802716226,0.014653323802716226,0.012151536812008578,0.01322373123659757,0.00964974982130093,0.017869907076483203,0.01143674052894925,0.015725518227305217,0.010364546104360257,0.008220157255182273,0.005003573981415297,0.007862759113652609,0.013581129378127233,0.012151536812008578,0.015368120085775554,0.019656897784131523,0.017512508934953538,0.015725518227305217,0.016082916368834882,0.017869907076483203,0.013581129378127233,0.011079342387419585,0.01250893495353824,0.006790564689063617,0.0,0.0,0.0,0.0,0.0
TWIST3,2729,0.48589226823012094,1.0580693815987934,0.0121012101210121,0.013568023469013568,0.009534286762009535,0.009534286762009535,0.014668133480014669,0.023835716905023837,0.024935826916024934,0.020902090209020903,0.008067473414008068,0.010634396773010634,0.021268793546021268,0.0187018701870187,0.016134946828016136,0.01796846351301797,0.009167583425009167,0.0088008800880088,0.016134946828016136,0.015401540154015401,0.0176017601760176,0.006600660066006601,0.0176017601760176,0.0176017601760176,0.017235056839017236,0.024935826916024934,0.02016868353502017,0.013201320132013201,0.02896956362302897,0.022002200220022004,0.015401540154015401,0.011367803447011368,0.009167583425009167,0.01906857352401907,0.017235056839017236,0.020902090209020903,0.011734506784011734,0.01796846351301797,0.020535386872020535,0.011001100110011002,0.007700770077007701,0.0176017601760176,0.0165016501650165,0.02016868353502017,0.015401540154015401,0.020535386872020535,0.012834616795012835,0.017235056839017236,0.01906857352401907,0.020902090209020903,0.011367803447011368,0.013934726806013934,0.017235056839017236,0.007700770077007701,0.020535386872020535,0.007334066740007334,0.012834616795012835,0.02016868353502017,0.01906857352401907,0.013934726806013934,0.011001100110011002,0.019435276861019434,0.019801980198019802,0.009534286762009535,0.0088008800880088,0.007700770077007701,0.0,0.0,0.0,0.0,0.0
HOXD10,4207,0.46779177561207513,1.1377032520325203,0.013793103448275862,0.014744351961950059,0.011414982164090369,0.009512485136741973,0.013793103448275862,0.017122473246135552,0.019262782401902497,0.01450653983353151,0.013317479191438763,0.008799048751486327,0.01498216409036861,0.019738406658739594,0.016884661117717005,0.015933412604042806,0.008799048751486327,0.017598097502972653,0.01854934601664685,0.016409036860879904,0.02211652794292509,0.008323424494649227,0.014744351961950059,0.0183115338882283,0.01854934601664685,0.019262782401902497,0.02568370986920333,0.013793103448275862,0.02473246135552913,0.012366230677764566,0.015933412604042806,0.01403091557669441,0.011890606420927468,0.023543400713436385,0.016171224732461357,0.012366230677764566,0.01498216409036861,0.029488703923900118,0.01498216409036861,0.013079667063020214,0.011890606420927468,0.0187871581450654,0.020927467300832343,0.02164090368608799,0.02187871581450654,0.015219976218787158,0.011890606420927468,0.020927467300832343,0.012841854934601665,0.014268727705112961,0.008085612366230678,0.009750297265160524,0.009988109393579072,0.01093935790725327,0.015219976218787158,0.01117717003567182,0.016171224732461357,0.019976218787158145,0.019500594530321047,0.012128418549346017,0.012604042806183116,0.015219976218787158,0.01403091557669441,0.02116527942925089,0.01498216409036861,0.009274673008323424,0.0,0.0,0.0,0.0,0.0
HOXD11,7743,0.4396228851866202,1.2746768507638073,0.016147784523963312,0.012659863066787238,0.011109675752486758,0.012013951685828705,0.013434956723937476,0.017052060457305257,0.018343883219222323,0.011368040304870172,0.010205399819144813,0.007880118847694096,0.013564139000129182,0.014855961762046246,0.012789045342978943,0.011497222581061879,0.01033458209533652,0.01886061232398915,0.016018602247771605,0.011238858028678465,0.012789045342978943,0.008913577057227747,0.01576023769538819,0.01291822761917065,0.014597597209662834,0.015631055419196488,0.024286267924040823,0.019377341428755974,0.03642940188606123,0.017181242733496964,0.013951685828704301,0.013822503552512595,0.009430306161994575,0.018989794600180854,0.01550187314300478,0.01666451362873014,0.019894070533522802,0.03087456400981785,0.01511432631442966,0.013047409895362357,0.01253068079059553,0.016018602247771605,0.019377341428755974,0.019248159152564268,0.02402790337165741,0.017956336390647202,0.012659863066787238,0.02286526288593205,0.012013951685828705,0.014726779485854541,0.012272316238212117,0.012401498514403824,0.011109675752486758,0.010076217542953106,0.018343883219222323,0.013822503552512595,0.019764888257331095,0.015889419971579898,0.020410799638289626,0.013176592171554063,0.01033458209533652,0.0218318046763984,0.020798346466864747,0.021960986952590106,0.013176592171554063,0.008655212504844335,0.0,0.0,0.0,0.0,0.0
TGFBR1,360240,0.4657839218298912,1.1469182449908817,0.017818775365175246,0.013591014829085216,0.006054330748005485,0.007250761996235822,0.013765899211077121,0.0195814988979508,0.016477995103237303,0.013185727213675403,0.007059221958816116,0.006256974555710391,0.020164446837923816,0.020394850071341723,0.013815866177360523,0.01760502778718514,0.011786652157740161,0.014459884853902143,0.020716859409612536,0.019864645040223408,0.016444683792381704,0.006706677252261005,0.018362860109150062,0.01730245004691343,0.020353210932772224,0.018759819896845973,0.0196120342662351,0.015503639260710975,0.025588638622244184,0.018548848261427168,0.017746600858321443,0.015939462244405088,0.012225251084005575,0.01675281341779601,0.019806350246226106,0.01920952259339659,0.014515403705328144,0.026088308285078198,0.016861075178076716,0.015453672294427572,0.006084866116289786,0.020075616675642213,0.017463454716048835,0.01730800193205603,0.014620889523037547,0.017130341607492824,0.01271659291912569,0.020114479871640417,0.017163652918348427,0.01904296603911858,0.0064651702485578975,0.01340780261937941,0.013157967787962403,0.006692797539404505,0.017244155252916126,0.012322409074001077,0.015467552007284073,0.017135893492635425,0.019112364603401086,0.015334306763861669,0.014967882344450059,0.017735497088036244,0.019384406975388492,0.014534835303327245,0.012125317151438771,0.011559024866893555,0.0,0.0,0.0,0.0,0.0
TBX5,409300,0.4484803322746152,1.2297521831741691,0.015526584542313914,0.012680247643526233,0.005463012279561591,0.006261941177332897,0.013017410297631555,0.018969064104882017,0.01716597686771008,0.013083376903869553,0.00659421741616133,0.005353067935831595,0.01942350072563267,0.01944060317910178,0.013896965047471524,0.015152773773631925,0.010977331919530512,0.016379264008130993,0.019968336029005763,0.019076565240973568,0.015284706986107921,0.0057610836114518026,0.01771081217108317,0.016906996858034977,0.020303055475472637,0.018502411445939143,0.01997322244428265,0.014783849420226827,0.026924148175656856,0.017522685182922954,0.016540515712268323,0.014989078861856154,0.011568588168034048,0.015751359645050794,0.01897639372779735,0.01881269881602158,0.016310854194254553,0.028851839002389457,0.0165063108053301,0.014937771501448822,0.005824607010051356,0.020747719265669512,0.021131302864905277,0.020075837165097313,0.016391480046323216,0.01877605070144491,0.0113951204257045,0.021048233805198168,0.01753001480583829,0.01758620858152251,0.00575375398853647,0.0146006088473435,0.013958045238432634,0.006132451172495346,0.018839574100044467,0.01177137440202493,0.01604698776930256,0.017532458013476734,0.020019643389413092,0.013980034107178633,0.013926283539132858,0.02033237396713397,0.020095382826204867,0.016596709487952544,0.012609394622011346,0.011949728559631369,0.0,0.0,0.0,0.0,0.0
HMOX1,21586,0.46942462707310295,1.1302674430079938,0.016493699036323202,0.01403817642698295,0.007968865826538177,0.007088584136397331,0.016076723498888064,0.020848776871756857,0.025389177168272794,0.017142327650111193,0.006069310600444774,0.00991475166790215,0.022285025945144553,0.021497405485544848,0.017281319495922907,0.012555596738324685,0.009822090437361009,0.01519644180874722,0.016540029651593773,0.017234988880652335,0.015984062268346925,0.006300963676797628,0.014455151964418088,0.01579873980726464,0.014964788732394365,0.01876389918458117,0.025991475166790214,0.01797627872498147,0.02932727946627131,0.016030392883617496,0.01464047442550037,0.014130837657524093,0.011258339510748703,0.020061156412157152,0.017605633802816902,0.01816160118606375,0.013852853965900667,0.021775389177168272,0.017929948109710898,0.014872127501853225,0.007505559673832468,0.01922720533728688,0.01635470719051149,0.020663454410674575,0.015335433654558932,0.01640103780578206,0.009497776130467013,0.01867123795404003,0.015984062268346925,0.01510378057820608,0.009080800593031875,0.011397331356560415,0.012416604892512973,0.004911045218680504,0.023674944403261674,0.011258339510748703,0.015567086730911787,0.025435507783543365,0.01403817642698295,0.01167531504818384,0.01343587842846553,0.01755930318754633,0.023813936249073388,0.016123054114158635,0.011767976278724982,0.009775759822090438,0.0,0.0,0.0,0.0,0.0
WNT5B,515195,0.46815283533419383,1.136054562792819,0.01793308527095671,0.014751753226460763,0.006712047718039647,0.007123543992251447,0.015099195835347141,0.020914492238830885,0.018868656988740143,0.01384917885142073,0.006838214028529114,0.0067566911817513045,0.01919863041617413,0.019635359952483826,0.014138390855465815,0.01873472659760517,0.012265306399737575,0.01448777448451357,0.01809418994435095,0.018449396633882835,0.0172013206701178,0.0066111146696480735,0.01709844660156485,0.015848429617638438,0.01773704223465769,0.019586834448449417,0.02073785940414563,0.015644622500693914,0.027306271630243423,0.01850762723872413,0.017556527359649684,0.01503514217002172,0.011593713423901334,0.017979669754829744,0.02106395079125687,0.01945484507747582,0.014579002432098262,0.02468007135190113,0.016933459887847856,0.015551453532947847,0.0063820742906056565,0.019365558150052503,0.018189299932258398,0.018239766456454184,0.01469352262161947,0.016768473174130858,0.011308383460179,0.018987059218584103,0.016766532153969484,0.019598480569417674,0.006224851657534167,0.01340468523446553,0.013218347298973395,0.006123918609142593,0.01787291364595404,0.012014914798920017,0.014734284045008376,0.018855069847610508,0.017166382307213027,0.014227677782889131,0.014786691589365538,0.018292174000811345,0.02030501190815869,0.014410133678058514,0.011723761774713555,0.011781992379554846,0.0,0.0,0.0,0.0,0.0
MSX2,43075,0.495507835171213,1.01813155922039,0.025398741671116477,0.017551598449144477,0.012490423234973186,0.010493812829382675,0.017203352448169385,0.020848327258375318,0.02242704246279572,0.016460427646089196,0.010331298028927634,0.011654632832632971,0.016460427646089196,0.018689202052329764,0.014649548441018736,0.020871543658440322,0.009240127225872356,0.013465512037703433,0.01620504724537413,0.018132008450769625,0.01639077844589418,0.007429248020801894,0.01666937524667425,0.018410605251549694,0.017040837647714347,0.016831890047129292,0.023286049265200937,0.015113876442318853,0.027302486476446963,0.015717502844009006,0.015229958442643883,0.013070833236598333,0.01109743923107283,0.023703944466371044,0.019896454855710073,0.018132008450769625,0.014649548441018736,0.023541429665916002,0.016878322847259306,0.013001184036403315,0.008868664824832262,0.016762240846934274,0.01615861444524412,0.01780697884985954,0.013535161237898451,0.016831890047129292,0.011793931233023008,0.01861955285213475,0.01439416804030367,0.01757481484920948,0.008148956422817079,0.011817147633088013,0.010679544029902724,0.007382815220671883,0.017273001648364403,0.010006268428017552,0.013767325238548511,0.020128618856360133,0.01592645044459406,0.012676154435493232,0.014301302440043647,0.017203352448169385,0.02008218605623012,0.013094049636663338,0.009611589626912451,0.009588373226847444,0.0,0.0,0.0,0.0,0.0
KAZALD1,203183,0.4408981066329368,1.268097741759039,0.015921764338200913,0.012594681589321836,0.0051678060448565565,0.00538928344677898,0.013318174435601755,0.019627819530369475,0.019923122732932706,0.012688194270133527,0.005330222806266334,0.004975858963190456,0.019701645331010282,0.01952938512951506,0.013067166713423006,0.014548604446281886,0.01123136513748825,0.01727523734994906,0.017137429188752884,0.01698977758747127,0.013569182157780501,0.004306505037380464,0.01561169597550952,0.014302518444145861,0.017614836032896777,0.01745734099152972,0.0239736983280917,0.015188428051835555,0.028393402926454737,0.017570540552512292,0.01496202892987041,0.015439435774014302,0.010704741092917153,0.019603210930155872,0.01988374897259094,0.017728035593879348,0.016975012427343106,0.028860966330513188,0.01754593195229869,0.015035854730511219,0.00510874540434391,0.020238112815666818,0.022521790915489146,0.022762955197582452,0.01727523734994906,0.018697614442295292,0.010640758732361786,0.022315078673694883,0.01846629360028743,0.01634503226187488,0.004783911881524355,0.013790659559702925,0.013347704755858078,0.004114557955714363,0.02255624295578819,0.012511012348595587,0.015163819451621954,0.019386655248276166,0.017304767670205383,0.013726677199147557,0.014056432442009834,0.02211328815194334,0.020484198817802845,0.01791998267554545,0.013081931873551169,0.012141883345391548,0.0,0.0,0.0,0.0,0.0
