gene_name,sequence_length,gc_content,at_gc_ratio,kmer_3_GGG,kmer_3_GGC,kmer_3_GCG,kmer_3_CGG,kmer_3_GCT,kmer_3_CTG,kmer_3_TGC,kmer_3_GCC,kmer_3_CCG,kmer_3_CGC,kmer_3_CCA,kmer_3_CAG,kmer_3_AGC,kmer_3_CCC,kmer_3_CTA,kmer_3_TAA,kmer_3_AAG,kmer_3_AGG,kmer_3_CTC,kmer_3_TCG,kmer_3_GGA,kmer_3_GAG,kmer_3_AGA,kmer_3_TCT,kmer_3_TGT,kmer_3_GTT,kmer_3_TTT,kmer_3_TTC,kmer_3_TCC,kmer_3_AGT,kmer_3_GTC,kmer_3_GTG,kmer_3_TGG,kmer_3_CTT,kmer_3_TTA,kmer_3_AAA,kmer_3_CAC,kmer_3_ACT,kmer_3_CGT,kmer_3_CAA,kmer_3_AAT,kmer_3_ATG,kmer_3_TAT,kmer_3_TGA,kmer_3_GAC,kmer_3_ACA,kmer_3_TCA,kmer_3_CCT,kmer_3_ACG,kmer_3_GAT,kmer_3_ATC,kmer_3_CGA,kmer_3_CAT,kmer_3_TAC,kmer_3_AAC,kmer_3_GCA,kmer_3_GAA,kmer_3_ACC,kmer_3_GGT,kmer_3_ATT,kmer_3_TTG,kmer_3_ATA,kmer_3_GTA,kmer_3_TAG,kmer_3_CAN,kmer_3_ANN,kmer_3_NNN,kmer_3_NNT,kmer_3_NTA,organism,chromosome,regen
ADIPOQ,1487,0.4653665097511769,1.1488439306358382,0.014141414141414142,0.01616161616161616,0.0053872053872053875,0.0053872053872053875,0.013468013468013467,0.022895622895622896,0.011447811447811448,0.014141414141414142,0.00808080808080808,0.0047138047138047135,0.024915824915824916,0.026262626262626262,0.016835016835016835,0.014141414141414142,0.014141414141414142,0.013468013468013467,0.022222222222222223,0.024242424242424242,0.018855218855218854,0.0013468013468013469,0.024242424242424242,0.020202020202020204,0.019528619528619527,0.02356902356902357,0.018855218855218854,0.013468013468013467,0.026262626262626262,0.022895622895622896,0.020875420875420877,0.016835016835016835,0.010774410774410775,0.014141414141414142,0.018855218855218854,0.019528619528619527,0.017508417508417508,0.019528619528619527,0.014141414141414142,0.019528619528619527,0.0047138047138047135,0.017508417508417508,0.015488215488215488,0.017508417508417508,0.014141414141414142,0.020202020202020204,0.014814814814814815,0.014814814814814815,0.020875420875420877,0.01818181818181818,0.0047138047138047135,0.015488215488215488,0.014141414141414142,0.0047138047138047135,0.018855218855218854,0.015488215488215488,0.010774410774410775,0.01616161616161616,0.01818181818181818,0.01616161616161616,0.00808080808080808,0.022222222222222223,0.014814814814814815,0.010101010101010102,0.010101010101010102,0.008754208754208754,0.0,0.0,0.0,0.0,0.0,Rattus norvegicus,2,0
AGTR1A,2286,0.463254593175853,1.158640226628895,0.00788091068301226,0.01882661996497373,0.005691768826619965,0.0043782837127845885,0.0223292469352014,0.02933450087565674,0.01576182136602452,0.017075306479859893,0.006129597197898424,0.00788091068301226,0.02276707530647986,0.019702276707530646,0.01532399299474606,0.01795096322241681,0.012697022767075307,0.013572679509632224,0.019702276707530646,0.013134851138353765,0.016199649737302976,0.008318739054290718,0.014010507880910683,0.012697022767075307,0.016199649737302976,0.024080560420315235,0.021015761821366025,0.010507880910683012,0.023642732049036778,0.021015761821366025,0.014448336252189142,0.01532399299474606,0.0148861646234676,0.01532399299474606,0.024518388791593695,0.021891418563922942,0.013134851138353765,0.028458844133099823,0.017075306479859893,0.014010507880910683,0.0070052539404553416,0.01882661996497373,0.01882661996497373,0.020577933450087564,0.017513134851138354,0.01926444833625219,0.01138353765323993,0.016637478108581436,0.02276707530647986,0.019702276707530646,0.005691768826619965,0.014010507880910683,0.017513134851138354,0.006567425569176883,0.01926444833625219,0.012697022767075307,0.011821366024518389,0.012697022767075307,0.01795096322241681,0.016637478108581436,0.009194395796847636,0.017075306479859893,0.01532399299474606,0.014448336252189142,0.011821366024518389,0.00788091068301226,0.0,0.0,0.0,0.0,0.0,Rattus norvegicus,2,0
AGTR2,2861,0.38692764767563786,1.5844625112917796,0.008394543546694649,0.010842952081147255,0.0013990905911157748,0.0017488632388947185,0.015389996502273523,0.023434767401189226,0.01224204267226303,0.0062959076600209865,0.0031479538300104933,0.002098635886673662,0.013990905911157748,0.015040223854494578,0.01224204267226303,0.011542497376705142,0.009793634137810424,0.01993704092339979,0.017838405036726127,0.009793634137810424,0.013641133263378805,0.0017488632388947185,0.013990905911157748,0.014340678558936691,0.01818817768450507,0.028681357117873382,0.022035676810073453,0.01818817768450507,0.04861839804127317,0.02553340328786289,0.014340678558936691,0.01818817768450507,0.010842952081147255,0.015040223854494578,0.023084994753410283,0.030080447708989155,0.027632039174536552,0.02728226652675761,0.012591815320041973,0.01608954179783141,0.0031479538300104933,0.01713885974116824,0.02098635886673662,0.01818817768450507,0.027632039174536552,0.023084994753410283,0.008394543546694649,0.01713885974116824,0.019237495627841904,0.016789087093389297,0.0027981811822315496,0.014340678558936691,0.013990905911157748,0.002098635886673662,0.01993704092339979,0.009793634137810424,0.01818817768450507,0.014340678558936691,0.01993704092339979,0.012941587967820916,0.009793634137810424,0.028681357117873382,0.02378454004896817,0.022035676810073453,0.009094088842252535,0.011192724728926198,0.0,0.0,0.0,0.0,0.0,Rattus norvegicus,2,0
AMTN,1032,0.46511627906976744,1.15,0.011650485436893204,0.013592233009708738,0.001941747572815534,0.001941747572815534,0.014563106796116505,0.02524271844660194,0.018446601941747572,0.018446601941747572,0.003883495145631068,0.002912621359223301,0.03203883495145631,0.03300970873786408,0.019417475728155338,0.01650485436893204,0.008737864077669903,0.014563106796116505,0.019417475728155338,0.020388349514563107,0.020388349514563107,0.001941747572815534,0.018446601941747572,0.01650485436893204,0.019417475728155338,0.011650485436893204,0.011650485436893204,0.010679611650485437,0.018446601941747572,0.01650485436893204,0.019417475728155338,0.015533980582524271,0.01262135922330097,0.007766990291262136,0.019417475728155338,0.013592233009708738,0.006796116504854369,0.05825242718446602,0.03203883495145631,0.01650485436893204,0.001941747572815534,0.02233009708737864,0.01650485436893204,0.01650485436893204,0.011650485436893204,0.015533980582524271,0.01262135922330097,0.02621359223300971,0.02815533980582524,0.02524271844660194,0.002912621359223301,0.009708737864077669,0.011650485436893204,0.003883495145631068,0.018446601941747572,0.0048543689320388345,0.019417475728155338,0.019417475728155338,0.018446601941747572,0.02330097087378641,0.009708737864077669,0.014563106796116505,0.015533980582524271,0.013592233009708738,0.007766990291262136,0.005825242718446602,0.0,0.0,0.0,0.0,0.0,Rattus norvegicus,X2,1
ARHGDIA,89866,0.47021120334720584,1.1267039000378645,0.01668076204041663,0.01380975696608208,0.006309534407549186,0.007344431585506989,0.015111724383512864,0.021421258791062048,0.018349951037122763,0.014555328051277487,0.007266536098994036,0.007088489272678715,0.020931630018694917,0.018984242855871095,0.013976675865752693,0.0204642570996172,0.012196207602599483,0.014199234398646845,0.018027241164426243,0.017114751179560225,0.01877281224962165,0.007989851330900027,0.016191133268049496,0.014599839757856316,0.016547226920680138,0.02073132733909018,0.02096501379862904,0.016102109854891838,0.02875456244992433,0.01955176711475118,0.019507255408172348,0.015412178402919969,0.012496661622006588,0.01662512240719309,0.0197298139410665,0.02083147867889255,0.014866909997329298,0.024414671058488383,0.016836553013442536,0.015968574735155346,0.006810291106561025,0.018416718596991007,0.01741520519896733,0.017047983619691977,0.014366153298317457,0.016836553013442536,0.011673195050298228,0.01691444849995549,0.016257900827917744,0.021410130864417343,0.006320662334193893,0.012652452595032494,0.013665093919700881,0.006643372206890413,0.017114751179560225,0.011773346390100596,0.014466304638119825,0.017248286299296714,0.017292798005875545,0.015545713522656459,0.014188106472002136,0.0182609276239651,0.02078696697231372,0.01257455710851954,0.012151695896020654,0.01143950859075937,0.0,0.0,0.0,0.0,0.0,Ambystoma mexicanum,3q,0
ATK1,397239,0.47340517924977155,1.1123554279333174,0.016232123392332536,0.01367445630694019,0.006248159159393511,0.00632116343643719,0.016217019059151086,0.022477765162862474,0.01928571608384919,0.01568585000893673,0.006958062818921701,0.007683070811631344,0.021377666229480133,0.018757064422498408,0.014933150738727762,0.018867829532495713,0.012695192039009458,0.013387473976492623,0.01754116560139161,0.016863987997089897,0.01968346352429406,0.006892610708468748,0.016579523055505908,0.014210660134881696,0.01670790988754824,0.02340164687579455,0.020989988344489563,0.016368062390965596,0.024192106978957146,0.020302741184733547,0.019152294474079706,0.014502677243056412,0.012106123044932873,0.016773361998001193,0.02062244957040759,0.02115110123175837,0.014225764468063146,0.022170643721506306,0.019192572695896908,0.015627950065074503,0.006640871822111234,0.018276243149555556,0.016133945226653106,0.01759403076752669,0.013276708866495316,0.016939509662997152,0.011227554331545148,0.019972963243605202,0.0168941966634528,0.020760905957904224,0.006338785158482216,0.013853190916254025,0.014248420967835322,0.005792511775086409,0.019444311582254424,0.011063924055412764,0.014714137907596724,0.017425365713667155,0.01672804899845684,0.014258490523289624,0.013556139030352158,0.018001847763425866,0.020992505733353137,0.012863857092868993,0.010442129006109703,0.012498835707650596,0.0,0.0,0.0,0.0,0.0,Ambystoma mexicanum,14,0
ATP1A1,3636,0.5398789878987899,0.8522669383596536,0.02228948816730875,0.021739130434782608,0.009356081452944413,0.015134837644468905,0.020088057237204183,0.02971931755641167,0.017336268574573474,0.01953769950467804,0.011282333516785911,0.007705008255365988,0.01981287837094111,0.020913593835993397,0.018712162905888827,0.020913593835993397,0.008805723720418272,0.006053935057787562,0.023390203632361033,0.0170610897083104,0.02283984589983489,0.009631260319207484,0.026692350027517887,0.017886626307099616,0.021739130434782608,0.020363236103467255,0.016235553109521187,0.007705008255365988,0.012658227848101266,0.015685195376995045,0.020363236103467255,0.009080902586681342,0.011832691249312053,0.020088057237204183,0.029168959823885527,0.016785910842047332,0.005228398458998349,0.013208585580627407,0.015960374243258118,0.012107870115575124,0.009080902586681342,0.015410016510731976,0.007980187121629059,0.017336268574573474,0.008805723720418272,0.020088057237204183,0.016785910842047332,0.01651073197578426,0.017611447440836543,0.025591634562465604,0.009906439185470555,0.01651073197578426,0.017611447440836543,0.00825536598789213,0.018161805173362685,0.007154650522839846,0.015410016510731976,0.01651073197578426,0.025591634562465604,0.016785910842047332,0.013208585580627407,0.012107870115575124,0.015685195376995045,0.004402861860209136,0.007980187121629059,0.004402861860209136,0.0,0.0,0.0,0.0,0.0,Rattus norvegicus,2,0
ATP6,684,0.32748538011695905,2.0535714285714284,0.002932551319648094,0.001466275659824047,0.001466275659824047,0.0,0.01906158357771261,0.011730205278592375,0.008797653958944282,0.005865102639296188,0.002932551319648094,0.002932551319648094,0.01906158357771261,0.011730205278592375,0.026392961876832845,0.013196480938416423,0.026392961876832845,0.03225806451612903,0.013196480938416423,0.010263929618768328,0.007331378299120235,0.004398826979472141,0.005865102639296188,0.002932551319648094,0.004398826979472141,0.020527859237536656,0.008797653958944282,0.007331378299120235,0.0469208211143695,0.02785923753665689,0.011730205278592375,0.005865102639296188,0.005865102639296188,0.001466275659824047,0.002932551319648094,0.04252199413489736,0.06744868035190615,0.01466275659824047,0.010263929618768328,0.03225806451612903,0.004398826979472141,0.03225806451612903,0.030791788856304986,0.011730205278592375,0.039589442815249266,0.016129032258064516,0.005865102639296188,0.021994134897360705,0.01466275659824047,0.016129032258064516,0.001466275659824047,0.010263929618768328,0.010263929618768328,0.002932551319648094,0.01466275659824047,0.030791788856304986,0.02932551319648094,0.013196480938416423,0.010263929618768328,0.020527859237536656,0.005865102639296188,0.05718475073313783,0.011730205278592375,0.017595307917888565,0.010263929618768328,0.01906158357771261,0.0,0.0,0.0,0.0,0.0,Ambystoma mexicanum,MT,0
ATP8,168,0.25595238095238093,2.9069767441860463,0.0,0.006024096385542169,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.0,0.024096385542168676,0.0,0.0,0.024096385542168676,0.030120481927710843,0.06626506024096386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018072289156626505,0.006024096385542169,0.0,0.04819277108433735,0.0,0.006024096385542169,0.0,0.0,0.0,0.006024096385542169,0.018072289156626505,0.03614457831325301,0.09036144578313253,0.012048192771084338,0.018072289156626505,0.0,0.03614457831325301,0.06626506024096386,0.024096385542168676,0.04819277108433735,0.03614457831325301,0.006024096385542169,0.024096385542168676,0.006024096385542169,0.024096385542168676,0.0,0.012048192771084338,0.030120481927710843,0.0,0.012048192771084338,0.006024096385542169,0.04819277108433735,0.006024096385542169,0.018072289156626505,0.030120481927710843,0.0,0.04216867469879518,0.024096385542168676,0.04819277108433735,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,Ambystoma mexicanum,MT,0
BCL2,941704,0.46784870829899844,1.136989161890711,0.01791861969073019,0.014350611977037322,0.00660506189856239,0.007038319978082238,0.014398397794631423,0.02043109178912225,0.01872885477571461,0.014362292954671436,0.006993719881661077,0.006600814270331804,0.021721308864162972,0.019749347458113076,0.014004430276244501,0.02032277726924229,0.01159496316244417,0.015056780170372368,0.01744713295713506,0.017843224289637274,0.016917241335369364,0.005812879233557962,0.016050725176329668,0.014948465650492406,0.01697564622353993,0.018240377529197136,0.02139530339746544,0.015205447158442905,0.026133532688684957,0.017327137459620983,0.01784110047552198,0.01473926996013601,0.011756373035206467,0.018198963153948915,0.020380120250355207,0.017935610203652537,0.015281904466593466,0.02524153076026174,0.01967182824290487,0.014858203550592438,0.006330027970631898,0.018698059471042857,0.018874336042612207,0.019073974569449783,0.015410395220568715,0.01686733170365997,0.010992861860758499,0.02042684416089166,0.01716572758685869,0.019381927616167322,0.0059902177121849585,0.012615455844842636,0.01305933299493895,0.005432716506920448,0.019512542184257867,0.012302193262836863,0.014201944988966786,0.01831895865146299,0.016769636254356474,0.015893562931797958,0.01486032736470773,0.019135565178793293,0.01966758061467428,0.015143856549099397,0.012164145345342794,0.011416562776759526,1.0619070576466866e-06,1.0619070576466866e-06,0.00021025759741404392,1.0619070576466866e-06,1.0619070576466866e-06,Ambystoma mexicanum,5p,0
